CdrEvent: 0 - d0	 => 0
CdrEvent: 484 - d1	 => 40
CdrEvent: 488 - d2	 => 60
CdrEvent: 492 - d0	 => 50
CdrEvent: 496 - d1	 => 40
CdrEvent: 500 - d2	 => 30
CdrEvent: 504 - d0	 => 40
CdrEvent: 508 - d1	 => 60
CdrEvent: 512 - d2	 => 50
CdrEvent: 516 - d0	 => 40
CdrEvent: 520 - d1	 => 30
CdrEvent: 524 - d2	 => 40
CdrEvent: 528 - d0	 => 60
CdrEvent: 532 - d1	 => 50
CdrEvent: 536 - d2	 => 40
CdrEvent: 540 - d0	 => 30
CdrEvent: 544 - d1	 => 40
CdrEvent: 548 - d2	 => 60
CdrEvent: 552 - d0	 => 50
CdrEvent: 556 - d1	 => 40
CdrEvent: 560 - d2	 => 30
CdrEvent: 564 - d0	 => 40
CdrEvent: 568 - d1	 => 60
CdrEvent: 572 - d2	 => 50
CdrEvent: 576 - d0	 => 40
CdrEvent: 580 - d1	 => 30
CdrEvent: 584 - d2	 => 40
CdrEvent: 588 - d0	 => 60
CdrEvent: 592 - d1	 => 50
CdrEvent: 596 - d2	 => 40
CdrEvent: 600 - d0	 => 30
CdrEvent: 604 - d1	 => 40
CdrEvent: 608 - d2	 => 60
CdrEvent: 612 - d0	 => 50
CdrEvent: 616 - d1	 => 40
CdrEvent: 620 - d2	 => 30
CdrEvent: 624 - d0	 => 40
CdrEvent: 628 - d1	 => 60
CdrEvent: 632 - d2	 => 50
CdrEvent: 636 - d0	 => 40
CdrEvent: 640 - d1	 => 30
CdrEvent: 644 - d2	 => 40
CdrEvent: 648 - d0	 => 60
CdrEvent: 652 - d1	 => 50
CdrEvent: 656 - d2	 => 40
CdrEvent: 660 - d0	 => 30
CdrEvent: 664 - d1	 => 40
CdrEvent: 668 - d2	 => 60
CdrEvent: 672 - d0	 => 50
CdrEvent: 676 - d1	 => 40
CdrEvent: 680 - d2	 => 30
CdrEvent: 684 - d0	 => 40
CdrEvent: 688 - d1	 => 60
CdrEvent: 692 - d2	 => 50
CdrEvent: 696 - d0	 => 40
CdrEvent: 700 - d1	 => 30
CdrEvent: 704 - d2	 => 40
CdrEvent: 708 - d0	 => 60
CdrEvent: 712 - d1	 => 50
CdrEvent: 716 - d2	 => 40
CdrEvent: 720 - d0	 => 30
CdrEvent: 724 - d1	 => 40
CdrEvent: 728 - d2	 => 60
CdrEvent: 732 - d0	 => 50
CdrEvent: 736 - d1	 => 40
CdrEvent: 740 - d2	 => 30
CdrEvent: 744 - d0	 => 40
CdrEvent: 748 - d1	 => 60
CdrEvent: 752 - d2	 => 50
CdrEvent: 756 - d0	 => 40
CdrEvent: 760 - d1	 => 30
CdrEvent: 764 - d2	 => 40
CdrEvent: 768 - d0	 => 60
CdrEvent: 772 - d1	 => 50
CdrEvent: 776 - d2	 => 40
CdrEvent: 780 - d0	 => 30
CdrEvent: 784 - d1	 => 40
CdrEvent: 788 - d2	 => 60
CdrEvent: 792 - d0	 => 50
CdrEvent: 796 - d1	 => 40
CdrEvent: 800 - d2	 => 30
CdrEvent: 804 - d0	 => 40
CdrEvent: 808 - d1	 => 60
CdrEvent: 812 - d2	 => 50
CdrEvent: 816 - d0	 => 40
CdrEvent: 820 - d1	 => 30
CdrEvent: 824 - d2	 => 40
CdrEvent: 828 - d0	 => 60
CdrEvent: 832 - d1	 => 50
CdrEvent: 836 - d2	 => 40
CdrEvent: 840 - d0	 => 30
CdrEvent: 844 - d1	 => 40
CdrEvent: 848 - d2	 => 60
CdrEvent: 852 - d0	 => 50
CdrEvent: 856 - d1	 => 40
CdrEvent: 860 - d2	 => 30
CdrEvent: 864 - d0	 => 40
CdrEvent: 868 - d1	 => 60
CdrEvent: 872 - d2	 => 50
CdrEvent: 876 - d0	 => 40
CdrEvent: 880 - d1	 => 30
CdrEvent: 884 - d2	 => 40
CdrEvent: 888 - d0	 => 60
CdrEvent: 892 - d1	 => 50
CdrEvent: 896 - d2	 => 40
CdrEvent: 900 - d0	 => 30
CdrEvent: 904 - d1	 => 40
CdrEvent: 908 - d2	 => 60
CdrEvent: 912 - d0	 => 50
CdrEvent: 916 - d1	 => 40
CdrEvent: 920 - d2	 => 30
CdrEvent: 924 - d0	 => 40
CdrEvent: 928 - d1	 => 60
CdrEvent: 932 - d2	 => 50
CdrEvent: 936 - d0	 => 40
CdrEvent: 940 - d1	 => 30
CdrEvent: 944 - d2	 => 40
CdrEvent: 948 - d0	 => 60
CdrEvent: 952 - d1	 => 50
CdrEvent: 956 - d2	 => 40
CdrEvent: 960 - d0	 => 30
CdrEvent: 964 - d1	 => 40
CdrEvent: 968 - d2	 => 60
CdrEvent: 972 - d0	 => 50
CdrEvent: 976 - d1	 => 40
CdrEvent: 980 - d2	 => 30
CdrEvent: 984 - d0	 => 40
CdrEvent: 988 - d1	 => 60
CdrEvent: 992 - d2	 => 50
CdrEvent: 996 - d0	 => 40
